"ID";"Tipo";"Estado";"Data da solicitação";"Software/componente";"Assunto";"Autor";"Idade";"Data do fechamento"
"PRJ-3931";"Projeto";"OFF";;"";"SchoolWeb 3.4";"Carlos Fim";15;
"ITE-3932";"Iteração";"OFF";;"";"Iteração 01: Melhorar a estrutura do software";"Carlos Fim";15;
"TSK-3933";"Tarefa";"OFF";;"";"Preparar as entregas do SchoolWeb 3.4.0";"Carlos Fim";15;
"TSK-3934";"Tarefa";"OFF";;"";"Criar a documentação da versão 3.4.0 do SchoolWeb";"Carlos Fim";15;
"PTH-3962";"Patch";"OFF";;"";"Correções no Facture-e";"Carlos Fim";22;
"TSK-3963";"Tarefa";"OFF";;"";"Preparar as entregas do Facture-e 3.0.1";"Carlos Fim";22;
"TSK-3964";"Tarefa";"OFF";;"";"Criar a documentação da versão do Facture-e 3.0.1";"Carlos Fim";22;
"PRJ-3965";"Projeto";"OFF";;"";"SchoolWeb 3.5.0";"Carlos Fim";66;
"ITE-3966";"Iteração";"OFF";;"";"Iteração 01: Implementar a atualização automática do SchoolWeb";"Carlos Fim";66;
"TSK-3967";"Tarefa";"OFF";;"";"Criar a documentação da versão 3.5.0 do SchoolWeb";"Carlos Fim";64;
"TSK-3968";"Tarefa";"OFF";;"";"Preparar as entregas da versão 3.5.0 do SchoolWeb";"Carlos Fim";64;
"TSK-3969";"Tarefa";"OFF";;"";"Implantar a versão 3.5.0 do SchoolWeb";"Carlos Fim";64;
"PRJ-3970";"Projeto";"OFF";;"";"School 2.7.0";"Carlos Fim";66;
"ITE-3971";"Iteração";"OFF";;"";"Iteração 01: Implementar a atualização automática do School";"Carlos Fim";66;
"TSK-3972";"Tarefa";"OFF";;"";"Criar a documentação da versão 2.7.0 do School";"Carlos Fim";63;
"TSK-3973";"Tarefa";"OFF";;"";"Preparar as entregas da versão 2.7.0 do School";"Carlos Fim";63;
"PRJ-4002";"Projeto";"OFF";;"";"Monnae 2.32.0";"Carlos Fim";9;
"ITE-4003";"Iteração";"OFF";;"";"Iteração 01: Revisar e refatorar o componente de acesso à dados";"Carlos Fim";9;
"TSK-4004";"Tarefa";"OFF";;"";"Criar a documentação da versão 2.32.0 do Monnae";"Carlos Fim";9;
"TSK-4005";"Tarefa";"OFF";;"";"Preparar as entregas da versão 2.32.0 do Monnae";"Carlos Fim";9;
"PRJ-4012";"Projeto";"OFF";;"";"Sicopri 5.5.0";"Carlos Fim";8;
"ITE-4013";"Iteração";"OFF";;"";"Iteração 01: Revisar e refatorar os grids dos módulos";"Carlos Fim";8;
"TSK-4014";"Tarefa";"OFF";;"";"Preparar as entregas da versão 5.5.0 do Sicopri";"Carlos Fim";8;
"TSK-4015";"Tarefa";"OFF";;"";"Criar a documentação da versão 5.5.0 do Sicopri";"Carlos Fim";8;
"PTH-4049";"Patch";"OFF";;"";"SchoolWeb 3.4.1";"Carlos Fim";8;
"PRJ-4085";"Projeto";"OFF";;"";"Monnae 3.0.0";"Carlos Fim";268;
"PRJ-4086";"Projeto";"OFF";;"";"Sicopri 5.6.0";"Carlos Fim";30;
"ITE-4092";"Iteração";"OFF";;"";"Iteração 01: Refatorações importantes";"Carlos Fim";267;
"ITE-4093";"Iteração";"OFF";;"";"Iteração 02: Mudanças necessárias";"Carlos Fim";126;
"ITE-4094";"Iteração";"OFF";;"";"Iteração 03: Orçamento";"Carlos Fim";126;
"ITE-4095";"Iteração";"OFF";;"";"Iteração 04: Conclusão do projeto";"Carlos Fim";126;
"TSK-4097";"Tarefa";"OFF";;"";"Criar a documentação da versão 3.0.0 do Monnae";"Carlos Fim";267;
"TSK-4098";"Tarefa";"OFF";;"";"Preparar as entregas da versão 3.0.0 do Monnae";"Carlos Fim";267;
"ITE-4123";"Iteração";"OFF";;"";"Implementação de visões";"Carlos Fim";28;
"ITE-4124";"Iteração";"OFF";;"";"Implementar solicitações de clientes";"Carlos Fim";28;
"TSK-4125";"Tarefa";"OFF";;"";"Plano de testes";"Carlos Fim";13;
"TSK-4126";"Tarefa";"OFF";;"";"Criar a documentação da versão 5.6.0 do Sicopri";"Carlos Fim";28;
"TSK-4127";"Tarefa";"OFF";;"";"Preparar as entregas da versão 5.6.0 do Sicopri";"Carlos Fim";28;
"TSK-4128";"Tarefa";"OFF";;"";"Definição das visões";"Carlos Fim";5;
"SMP-4129";"Solicitação de Mudança de Projeto";"OFF";;"";"Mudança de solicitação entre iterações";"Carlos Fim";1;
"TSK-4133";"Tarefa";"OFF";;"";"Criar plano de testes para a versão 3.0.1 do Facture-e";"Carlos Fim";2;
"PRJ-4135";"Projeto";"OFF";;"";"Facture-e 3.1.0";"Carlos Fim";25;
"PRJ-4136";"Projeto";"OFF";;"";"Facture-e 3.3.0";"Carlos Fim";79;
"PRJ-4137";"Projeto";"OFF";;"";"Facture-e 3.2.0";"Carlos Fim";50;
"PRJ-4138";"Projeto";"OFF";;"";"Facture-e 3.4.0";"Carlos Fim";108;
"ITE-4139";"Iteração";"OFF";;"";"Iteração 01: Ajustar SINTEGRA e SPED";"Carlos Fim";25;
"TSK-4140";"Tarefa";"OFF";;"";"Criar plano de testes para a versão 3.1.0 do Facture-e";"Carlos Fim";10;
"TSK-4141";"Tarefa";"OFF";;"";"Criar a documentação da versão 3.1.0 do Facture-e";"Carlos Fim";25;
"TSK-4142";"Tarefa";"OFF";;"";"Preparar as entregas da versão 3.1.0 do Facture-e";"Carlos Fim";25;
"ITE-4143";"Iteração";"OFF";;"";"Iteração 01: Ajustar o CT-e";"Carlos Fim";79;
"TSK-4144";"Tarefa";"OFF";;"";"Criar plano de testes para a versão 3.3.0 do Facture-e";"Carlos Fim";58;
"TSK-4145";"Tarefa";"OFF";;"";"Criar a documentação da versão 3.3.0 do Facture-e";"Carlos Fim";79;
"TSK-4146";"Tarefa";"OFF";;"";"Preparar as entregas da versão 3.3.0 do Facture-e";"Carlos Fim";79;
"ITE-4147";"Iteração";"OFF";;"";"Iteração 01: Ajustar a NF-e";"Carlos Fim";50;
"TSK-4148";"Tarefa";"OFF";;"";"Criar plano de testes para a versão 3.2.0 do Facture-e";"Carlos Fim";49;
"TSK-4149";"Tarefa";"OFF";;"";"Criar a documentação da versão 3.2.0 do Facture-e";"Carlos Fim";49;
"TSK-4150";"Tarefa";"OFF";;"";"Preparar as entregas da versão 3.2.0 do Facture-e";"Carlos Fim";49;
"ITE-4151";"Iteração";"OFF";;"";"Iteração 01: Implementar ajustes diversos";"Carlos Fim";108;
"TSK-4152";"Tarefa";"OFF";;"";"Criar plano de testes para a versão 3.4.0 do Facture-e";"Carlos Fim";107;
"TSK-4153";"Tarefa";"OFF";;"";"Criar a documentação da versão 3.4.0 do Facture-e";"Carlos Fim";107;
"TSK-4154";"Tarefa";"OFF";;"";"Preparar as entregas da versão 3.4.0 do Facture-e";"Carlos Fim";107;
"TSK-4159";"Tarefa";"OFF";;"";"Criar plano de testes da versão 3.0.0 do Monnae";"Carlos Fim";8;
